Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
RP2040,Main MCU (QFN-56),1,$1.00,https://www.raspberrypi.com/products/rp2040/,Raspberry Pi
MCP1700x-330xxTT,3.3V 250mA LDO regulator (SOT-23),1,$0.50,https://www.digikey.in/en/products/detail/microchip-technology/MCP1700T-3302E-TT/652676,DigiKey
W25Q16JVZPIQ,16Mbit QSPI NOR Flash (WSON-8),1,$0.80,https://www.digikey.in/en/products/detail/winbond-electronics/W25Q16JVZPIQ/6193781,DigiKey
USB-C Receptacle 14P,HRO TYPE-C-31-M-12 or equiv,1,$0.50,https://hubtronics.in/usb-c-female-port,Hubtronics
Conn_01x20 header,2.54mm 20-pin single row (J3 and J4),2,$1.00,https://www.mouser.in/ProductDetail/Amphenol-FCI/67996-420HLF?qs=QKvFUfBIyQIvQWWcVN8Heg%3D%3D,Mouser
Conn_01x03 header,2.54mm 3-pin SWD debug header (J2),1,$0.20,https://robu.in/product/ds1021-03-1x3sf11-b-connfly-1x3-pin-2-54mm-pin-header-single-row-press-fit-type/,Robu
SW_Push tactile switch,BOOT/RUN button (SW1),1,$0.20,https://www.digikey.in/en/products/detail/alps-alpine/SKRKAEE020/19529176,Digikey
Crystal 12MHz GND24,SMD 4-pad crystal 3.2x2.5mm (Y1),1,$0.50,https://www.etstore.in/products/d10953,ETStore
Resistor 5.1K 0402,CC pull-downs for USB-C (R1 R2),2,$0.10,https://www.mouser.in/ProductDetail/Vishay-Dale/RCC04025K10FKED?qs=Imq1NPwxi76qRPANg4q4sQ%3D%3D,Mouser
Resistor 27R 0402,USB D+/D- series resistors (R3 R4),2,$0.10,https://robu.in/product/erj2rkf27r0x-panasonic-smd-chip-resistor-27-ohm,Robu
Resistor 1K 0402,General purpose (R5 R6),2,$0.10,https://www.mouser.in/ProductDetail/Vishay/CRCW04021K00FHEDP?qs=Vd2sgofiCLVNiwckQwwOyw%3D%3D,Mouser
Resistor 10K 0402,Pull-up (R7),1,$0.05,https://robu.in/product/rc0402fr-0710kl-yageo-smd-chip-resistor-10-kohm,Robu
Capacitor 1uF 0402,Bulk decoupling (C1 C10),2,$0.20,https://robu.in/product/1uf-capacitor-smdc-0402-pack-of-50/,Robu
Capacitor 0.1uF 0402,"Decoupling (C2-C9, C11, C12, C17)",11,$0.55,https://robu.in/product/0402yd104kat2a-kyocera-avx-smd-multilayer-ceramic-capacitor,Robu
Capacitor 10uF 0603,LDO bulk caps (C13 C14),2,$0.30,https://robu.in/product/10uf-10000nf-50v-capacitor-0603-smd-package-pack-of-5/,Robu
Capacitor 33pF 0402,Crystal load caps (C15 C16),2,$0.20,https://robu.in/product/mc0402n330j500ct-murata-smd-multilayer-ceramic-capacitor-33-pf,Robu
PCB 2-layer ENIG,"JLCPCB, 5 boards",5,$18.00,https://jlcpcb.com/,JLCPCB
Total,,,,$24.30,,
